,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-08-20 12:06:19,1,-21.736932,166.181635,13.0,9.23,101,90.0,387.0
1,2020-08-20 12:06:20,2,-21.736851,166.181581,13.0,9.31,109,89.0,383.0
2,2020-08-20 12:06:21,3,-21.736777,166.181549,13.0,9.35,115,87.0,394.0
3,2020-08-20 12:06:22,4,-21.736701999999998,166.181527,13.0,9.4,120,87.0,394.0
4,2020-08-20 12:06:23,5,-21.736643,166.181442,13.0,9.45,124,90.0,421.0
5,2020-08-20 12:06:24,6,-21.736619,166.181367,13.0,9.53,128,91.0,415.0
6,2020-08-20 12:06:25,7,-21.736634,166.181281,13.0,9.59,130,91.0,415.0
7,2020-08-20 12:06:26,8,-21.736662,166.181184,13.0,9.66,133,91.0,410.0
8,2020-08-20 12:06:27,9,-21.736697,166.181098,13.0,9.77,134,91.0,410.0
9,2020-08-20 12:06:28,10,-21.736732999999997,166.181023,13.0,9.95,136,92.0,390.0
10,2020-08-20 12:06:29,11,-21.736765,166.180927,13.0,10.2,137,91.0,397.0
11,2020-08-20 12:06:30,12,-21.7368,166.180841,13.0,10.48,138,90.0,437.0
12,2020-08-20 12:06:31,13,-21.736833999999998,166.180744,13.0,10.72,139,90.0,437.0
13,2020-08-20 12:06:32,14,-21.73687,166.18063700000002,13.0,10.98,139,93.0,424.0
14,2020-08-20 12:06:33,15,-21.736905,166.180551,13.0,11.2,140,90.0,403.0
15,2020-08-20 12:06:34,16,-21.736942000000003,166.180444,13.0,11.43,141,91.0,411.0
16,2020-08-20 12:06:35,17,-21.736983,166.180337,13.0,11.63,142,91.0,411.0
17,2020-08-20 12:06:36,18,-21.737022,166.180229,13.0,11.84,142,91.0,435.0
18,2020-08-20 12:06:37,19,-21.737061999999998,166.18012199999998,13.0,12.06,144,91.0,450.0
19,2020-08-20 12:06:38,20,-21.737103,166.180015,13.0,12.27,144,92.0,449.0
20,2020-08-20 12:06:39,21,-21.737141,166.17990700000001,13.0,12.47,145,92.0,449.0
21,2020-08-20 12:06:40,22,-21.737185,166.179779,13.0,12.65,146,90.0,440.0
22,2020-08-20 12:06:41,23,-21.737226999999997,166.17967099999998,13.0,12.81,147,89.0,430.0
23,2020-08-20 12:06:42,24,-21.737271,166.179553,13.0,12.92,147,88.0,431.0
24,2020-08-20 12:06:43,25,-21.737313,166.17944599999998,13.0,13.03,148,87.0,436.0
25,2020-08-20 12:06:44,26,-21.737361,166.179328,13.0,13.14,149,91.0,439.0
26,2020-08-20 12:06:45,27,-21.737412,166.17922099999998,13.0,13.24,149,91.0,426.0
27,2020-08-20 12:06:46,28,-21.737461,166.179113,13.0,13.3,150,91.0,426.0
28,2020-08-20 12:06:47,29,-21.737515,166.178985,13.0,13.35,150,89.0,393.0
29,2020-08-20 12:06:48,30,-21.737569,166.178888,13.0,13.35,150,89.0,393.0
30,2020-08-20 12:06:49,31,-21.737622,166.178759,13.0,13.34,151,85.0,357.0
31,2020-08-20 12:06:50,32,-21.737673,166.178652,13.0,13.24,151,84.0,364.0
32,2020-08-20 12:06:51,33,-21.737722,166.178534,13.0,13.14,151,83.0,356.0
33,2020-08-20 12:06:52,34,-21.737767,166.178405,13.0,13.05,152,83.0,356.0
34,2020-08-20 12:06:53,35,-21.737814,166.178298,13.0,12.97,152,86.0,389.0
35,2020-08-20 12:06:54,36,-21.737864000000002,166.17818,13.0,12.93,152,92.0,425.0
36,2020-08-20 12:06:55,37,-21.737913,166.178073,13.0,12.9,152,93.0,406.0
37,2020-08-20 12:06:56,38,-21.737963,166.177955,13.0,12.87,152,93.0,406.0
