,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-09-10 12:04:16,1,53.990314,-1.542086,124.6,11.2,147,89.0,450.0
1,2020-09-10 12:04:17,2,53.990334999999995,-1.541914,124.6,11.53,149,90.0,445.0
2,2020-09-10 12:04:18,3,53.990345999999995,-1.5417379999999998,124.6,11.82,151,90.0,453.0
3,2020-09-10 12:04:19,4,53.990334999999995,-1.541557,124.8,12.07,153,90.0,458.0
4,2020-09-10 12:04:20,5,53.990276,-1.541402,124.8,12.26,154,90.0,463.0
5,2020-09-10 12:04:21,6,53.990175,-1.541309,125.2,12.38,155,91.0,477.0
6,2020-09-10 12:04:22,7,53.990072999999995,-1.541256,125.4,12.46,155,89.0,474.0
7,2020-09-10 12:04:23,8,53.989965000000005,-1.541208,125.6,12.57,157,86.0,494.0
8,2020-09-10 12:04:24,9,53.989853000000004,-1.541151,125.6,12.73,158,85.0,501.0
9,2020-09-10 12:04:25,10,53.98974499999999,-1.541092,125.8,12.89,158,87.0,459.0
10,2020-09-10 12:04:26,11,53.989638,-1.541032,126.0,13.02,159,85.0,428.0
11,2020-09-10 12:04:27,12,53.98952,-1.540956,126.0,13.14,159,90.0,399.0
12,2020-09-10 12:04:28,13,53.98941800000001,-1.540879,126.2,13.22,160,97.0,324.0
13,2020-09-10 12:04:29,14,53.989311,-1.5408030000000001,126.2,13.25,160,97.0,306.0
14,2020-09-10 12:04:30,15,53.989197999999995,-1.5407309999999999,126.4,13.26,160,98.0,312.0
15,2020-09-10 12:04:31,16,53.989086,-1.5406549999999999,126.4,13.23,161,97.0,264.0
16,2020-09-10 12:04:32,17,53.988978,-1.540575,126.4,13.12,161,92.0,263.0
17,2020-09-10 12:04:33,18,53.988870999999996,-1.5404959999999999,126.6,12.94,161,95.0,258.0
18,2020-09-10 12:04:34,19,53.988764,-1.5404149999999999,126.6,12.78,161,102.0,264.0
19,2020-09-10 12:04:35,20,53.988662,-1.540338,126.6,12.65,161,104.0,303.0
20,2020-09-10 12:04:36,21,53.98856,-1.54026,126.6,12.57,161,106.0,309.0
21,2020-09-10 12:04:37,22,53.988457999999994,-1.540183,126.6,12.51,161,106.0,316.0
22,2020-09-10 12:04:38,23,53.988356,-1.5401049999999998,126.6,12.45,161,107.0,313.0
23,2020-09-10 12:04:39,24,53.988254000000005,-1.5400280000000002,126.6,12.41,161,106.0,324.0
24,2020-09-10 12:04:40,25,53.988147,-1.539952,126.8,12.37,162,105.0,325.0
25,2020-09-10 12:04:41,26,53.98805,-1.539877,126.8,12.34,161,104.0,325.0
26,2020-09-10 12:04:42,27,53.987947999999996,-1.539803,126.8,12.31,161,104.0,323.0
27,2020-09-10 12:04:43,28,53.987846,-1.539731,126.8,12.37,161,103.0,325.0
28,2020-09-10 12:04:44,29,53.98774399999999,-1.539654,126.8,12.48,162,103.0,323.0
29,2020-09-10 12:04:45,30,53.987643000000006,-1.5395780000000001,126.4,12.78,162,103.0,320.0
30,2020-09-10 12:04:46,31,53.98753000000001,-1.5395020000000001,126.2,13.11,162,104.0,323.0
31,2020-09-10 12:04:47,32,53.987417,-1.5394700000000001,126.0,13.38,162,106.0,315.0
32,2020-09-10 12:04:48,33,53.98729399999999,-1.5394809999999999,125.8,13.55,163,106.0,301.0
33,2020-09-10 12:04:49,34,53.987187,-1.5395450000000002,125.8,13.59,164,107.0,289.0
34,2020-09-10 12:04:50,35,53.987079,-1.5396610000000002,126.0,13.5,164,103.0,288.0
35,2020-09-10 12:04:51,36,53.987015,-1.53982,126.4,13.3,164,103.0,302.0
36,2020-09-10 12:04:52,37,53.986951,-1.539996,126.6,13.12,165,99.0,311.0
37,2020-09-10 12:04:53,38,53.986897,-1.5401639999999999,127.0,12.95,165,95.0,340.0
38,2020-09-10 12:04:54,39,53.986849,-1.5403440000000002,127.2,12.69,166,95.0,345.0
39,2020-09-10 12:04:55,40,53.9868,-1.540519,127.6,12.43,166,110.0,338.0
40,2020-09-10 12:04:56,41,53.986752,-1.540683,127.8,12.18,167,107.0,321.0
41,2020-09-10 12:04:57,42,53.986704,-1.5408540000000002,128.2,11.91,167,107.0,294.0
42,2020-09-10 12:04:58,43,53.986655000000006,-1.5410139999999999,128.6,11.66,167,105.0,287.0
43,2020-09-10 12:04:59,44,53.98661800000001,-1.541169,128.8,11.43,168,108.0,295.0
44,2020-09-10 12:05:00,45,53.986575,-1.541324,129.0,11.25,168,110.0,294.0
45,2020-09-10 12:05:01,46,53.986537,-1.5414780000000001,129.4,11.13,168,88.0,289.0
46,2020-09-10 12:05:02,47,53.986489,-1.541627,129.6,11.03,168,91.0,288.0
47,2020-09-10 12:05:03,48,53.986445999999994,-1.541777,130.0,10.94,168,97.0,281.0
48,2020-09-10 12:05:04,49,53.986403,-1.541927,130.2,10.86,168,98.0,279.0
49,2020-09-10 12:05:05,50,53.98636,-1.542076,130.4,10.79,169,98.0,289.0
50,2020-09-10 12:05:06,51,53.986318000000004,-1.542227,130.8,10.73,169,99.0,288.0
51,2020-09-10 12:05:07,52,53.986275,-1.542367,131.0,10.68,168,100.0,289.0
52,2020-09-10 12:05:08,53,53.986231999999994,-1.542514,131.4,10.63,168,98.0,286.0
53,2020-09-10 12:05:09,54,53.986194,-1.542653,131.6,10.58,168,98.0,284.0
54,2020-09-10 12:05:10,55,53.986151,-1.5427959999999998,131.8,10.54,168,99.0,291.0
55,2020-09-10 12:05:11,56,53.986107999999994,-1.54294,132.2,10.52,168,99.0,294.0
56,2020-09-10 12:05:12,57,53.986065,-1.543081,132.4,10.5,168,102.0,312.0
57,2020-09-10 12:05:13,58,53.986022,-1.54322,132.6,10.49,168,104.0,312.0
58,2020-09-10 12:05:14,59,53.985985,-1.543367,133.0,10.48,168,105.0,318.0
59,2020-09-10 12:05:15,60,53.985942,-1.54351,133.2,10.49,168,104.0,319.0
60,2020-09-10 12:05:16,61,53.985904000000005,-1.543654,133.6,10.49,168,104.0,316.0
