,Date_Time,No,Latitude,Longitude,Altitude,Speed,Cadence,Power
0,2020-09-10 11:21:13,1,53.99033299999999,-1.541882,124.6,12.56,86.0,534.0
1,2020-09-10 11:21:14,2,53.990345,-1.541703,124.8,12.73,86.0,479.0
2,2020-09-10 11:21:15,3,53.99031899999999,-1.541505,124.8,12.83,86.0,479.0
3,2020-09-10 11:21:16,4,53.990242,-1.541367,125.0,12.85,84.0,450.0
4,2020-09-10 11:21:17,5,53.990139,-1.54129,125.2,12.8,81.0,406.0
5,2020-09-10 11:21:18,6,53.990019,-1.541234,125.4,12.7,79.0,390.0
6,2020-09-10 11:21:19,7,53.989914,-1.541185,125.6,12.63,78.0,404.0
7,2020-09-10 11:21:20,8,53.989808999999994,-1.5411299999999999,125.8,12.59,78.0,404.0
8,2020-09-10 11:21:21,9,53.989701000000004,-1.541067,126.0,12.56,76.0,354.0
9,2020-09-10 11:21:22,10,53.989596999999996,-1.5409979999999999,126.0,12.54,74.0,374.0
10,2020-09-10 11:21:23,11,53.989489,-1.540934,126.2,12.47,74.0,394.0
11,2020-09-10 11:21:24,12,53.98938100000001,-1.540861,126.2,12.43,73.0,395.0
12,2020-09-10 11:21:25,13,53.989281000000005,-1.5407870000000001,126.2,12.41,73.0,395.0
13,2020-09-10 11:21:26,14,53.989178,-1.5407110000000002,126.4,12.39,73.0,364.0
14,2020-09-10 11:21:27,15,53.989076000000004,-1.540637,126.4,12.35,72.0,331.0
15,2020-09-10 11:21:28,16,53.988971,-1.540563,126.4,12.27,71.0,274.0
16,2020-09-10 11:21:29,17,53.988872,-1.5404930000000001,126.6,12.17,70.0,269.0
17,2020-09-10 11:21:30,18,53.98876800000001,-1.540418,126.6,12.06,70.0,269.0
18,2020-09-10 11:21:31,19,53.988668000000004,-1.5403440000000002,126.6,11.98,69.0,302.0
19,2020-09-10 11:21:32,20,53.988572999999995,-1.5402719999999999,126.6,11.94,68.0,323.0
20,2020-09-10 11:21:33,21,53.98846999999999,-1.540196,126.6,11.95,69.0,429.0
21,2020-09-10 11:21:34,22,53.988370999999994,-1.540122,126.6,12.05,70.0,434.0
22,2020-09-10 11:21:35,23,53.98826999999999,-1.5400459999999998,126.6,12.12,71.0,388.0
23,2020-09-10 11:21:36,24,53.988174,-1.539976,126.6,12.17,72.0,416.0
24,2020-09-10 11:21:37,25,53.988075,-1.539898,126.8,12.22,72.0,373.0
25,2020-09-10 11:21:38,26,53.987973,-1.539822,126.8,12.26,72.0,373.0
26,2020-09-10 11:21:39,27,53.987871,-1.539748,126.8,12.37,73.0,390.0
27,2020-09-10 11:21:40,28,53.98777,-1.539676,126.8,12.55,73.0,424.0
28,2020-09-10 11:21:41,29,53.987663,-1.539599,126.6,12.87,73.0,380.0
29,2020-09-10 11:21:42,30,53.987552,-1.53952,126.2,13.21,74.0,318.0
30,2020-09-10 11:21:43,31,53.987442,-1.5394729999999999,126.0,13.45,73.0,230.0
31,2020-09-10 11:21:44,32,53.98731899999999,-1.5394729999999999,125.8,13.54,72.0,246.0
32,2020-09-10 11:21:45,33,53.987203,-1.5395290000000001,125.8,13.54,71.0,254.0
33,2020-09-10 11:21:46,34,53.9871,-1.539627,126.0,13.47,70.0,338.0
34,2020-09-10 11:21:47,35,53.987021,-1.539787,126.2,13.31,68.0,362.0
35,2020-09-10 11:21:48,36,53.986961,-1.539959,126.6,13.16,67.0,339.0
36,2020-09-10 11:21:49,37,53.986903000000005,-1.54014,127.0,12.99,67.0,339.0
37,2020-09-10 11:21:50,38,53.986853,-1.54031,127.2,12.84,65.0,378.0
38,2020-09-10 11:21:51,39,53.986807999999996,-1.5404870000000002,127.6,12.68,65.0,397.0
39,2020-09-10 11:21:52,40,53.98676,-1.540664,127.8,12.45,64.0,368.0
40,2020-09-10 11:21:53,41,53.986711,-1.540837,128.2,12.21,63.0,355.0
41,2020-09-10 11:21:54,42,53.986668,-1.5409979999999999,128.4,11.99,63.0,358.0
42,2020-09-10 11:21:55,43,53.986621,-1.541164,128.8,11.77,62.0,343.0
43,2020-09-10 11:21:56,44,53.986574,-1.541325,129.0,11.57,61.0,361.0
44,2020-09-10 11:21:57,45,53.986529000000004,-1.541482,129.4,11.4,61.0,337.0
45,2020-09-10 11:21:58,46,53.986484999999995,-1.5416370000000001,129.6,11.23,61.0,382.0
46,2020-09-10 11:21:59,47,53.986441000000006,-1.541792,130.0,11.11,61.0,378.0
47,2020-09-10 11:22:00,48,53.986396,-1.541947,130.2,10.99,61.0,393.0
48,2020-09-10 11:22:01,49,53.986353,-1.542101,130.6,10.9,61.0,399.0
49,2020-09-10 11:22:02,50,53.986309,-1.542253,130.8,10.82,61.0,394.0
50,2020-09-10 11:22:03,51,53.986268,-1.5423950000000002,131.0,10.75,61.0,392.0
51,2020-09-10 11:22:04,52,53.986225,-1.542541,131.4,10.68,61.0,388.0
52,2020-09-10 11:22:05,53,53.98618100000001,-1.542694,131.6,10.59,61.0,375.0
53,2020-09-10 11:22:06,54,53.98614,-1.542832,132.0,10.53,61.0,405.0
54,2020-09-10 11:22:07,55,53.986098,-1.5429760000000001,132.2,10.49,61.0,392.0
55,2020-09-10 11:22:08,56,53.98605500000001,-1.543125,132.6,10.44,61.0,392.0
56,2020-09-10 11:22:09,57,53.986014000000004,-1.5432649999999999,132.8,10.4,62.0,407.0
57,2020-09-10 11:22:10,58,53.985973,-1.543407,133.0,10.37,62.0,396.0
58,2020-09-10 11:22:11,59,53.985929000000006,-1.543555,133.4,10.33,62.0,396.0
59,2020-09-10 11:22:12,60,53.985887,-1.543699,133.6,10.3,62.0,396.0
60,2020-09-10 11:22:13,61,53.985848,-1.543834,133.8,10.27,62.0,396.0
61,2020-09-10 11:22:14,62,53.985808999999996,-1.5439690000000001,134.2,10.23,62.0,379.0
62,2020-09-10 11:22:15,63,53.985764,-1.5441200000000002,134.4,10.19,61.0,390.0
63,2020-09-10 11:22:16,64,53.985725,-1.544254,134.6,10.16,61.0,383.0
64,2020-09-10 11:22:17,65,53.985685,-1.544392,135.0,10.13,61.0,383.0
65,2020-09-10 11:22:18,66,53.98564399999999,-1.544534,135.2,10.1,61.0,397.0
66,2020-09-10 11:22:19,67,53.98560500000001,-1.544667,135.4,10.09,61.0,393.0
67,2020-09-10 11:22:20,68,53.985565,-1.544805,135.8,10.07,61.0,374.0
68,2020-09-10 11:22:21,69,53.985523,-1.544949,136.0,10.03,61.0,373.0
69,2020-09-10 11:22:22,70,53.985484,-1.545083,136.2,9.99,61.0,373.0
70,2020-09-10 11:22:23,71,53.985445999999996,-1.545217,136.6,9.97,61.0,388.0
71,2020-09-10 11:22:24,72,53.985406000000005,-1.5453569999999999,136.8,9.96,61.0,393.0
72,2020-09-10 11:22:25,73,53.985364000000004,-1.5455020000000002,137.0,9.96,61.0,393.0
73,2020-09-10 11:22:26,74,53.985325,-1.545636,137.4,9.95,61.0,372.0
74,2020-09-10 11:22:27,75,53.985285,-1.545776,137.6,9.92,61.0,372.0
75,2020-09-10 11:22:28,76,53.985248,-1.545906,137.8,9.88,60.0,340.0
76,2020-09-10 11:22:29,77,53.985209,-1.546041,138.2,9.83,60.0,369.0
77,2020-09-10 11:22:30,78,53.985170999999994,-1.546174,138.4,9.81,60.0,380.0
78,2020-09-10 11:22:31,79,53.985131,-1.546311,138.6,9.81,60.0,380.0
79,2020-09-10 11:22:32,80,53.985093000000006,-1.546445,138.8,9.81,60.0,389.0
80,2020-09-10 11:22:33,81,53.985052,-1.546586,139.2,9.81,61.0,388.0
81,2020-09-10 11:22:34,82,53.985015000000004,-1.546715,139.4,9.82,61.0,387.0
82,2020-09-10 11:22:35,83,53.984977,-1.54685,139.6,9.81,61.0,370.0
83,2020-09-10 11:22:36,84,53.984935,-1.5469959999999998,140.0,9.79,61.0,370.0
84,2020-09-10 11:22:37,85,53.984898,-1.547125,140.2,9.76,60.0,348.0
85,2020-09-10 11:22:38,86,53.98486,-1.5472549999999998,140.4,9.73,60.0,374.0
86,2020-09-10 11:22:39,87,53.984821,-1.547393,140.8,9.73,60.0,389.0
87,2020-09-10 11:22:40,88,53.984781000000005,-1.547532,141.0,9.74,60.0,387.0
88,2020-09-10 11:22:41,89,53.98474399999999,-1.547661,141.2,9.75,60.0,387.0
89,2020-09-10 11:22:42,90,53.984706,-1.5477940000000001,141.4,9.75,60.0,380.0
90,2020-09-10 11:22:43,91,53.984668000000006,-1.547928,141.8,9.75,60.0,386.0
91,2020-09-10 11:22:44,92,53.984629000000005,-1.548063,142.0,9.76,61.0,379.0
